segment_local_departure_date,meal_time,cabin_class,meal_name,segment,year_month,meal_pref
2024-06-03 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-03 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-03 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-03 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-04 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-04 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-04 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-04 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-04 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-04 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-04 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-04 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-04 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-04 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-04 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-04 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-04 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-04 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-04 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-04 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-04 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-05 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-05 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-05 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-05 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-05 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-05 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-05 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-05 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-05 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-05 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-05 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-05 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-05 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-05 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-05 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-05 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-05 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-06 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-06 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-06 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-06 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-06 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-06 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-06 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-06 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-06 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-06 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-06 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-06 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-06 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-06 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-06 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-06 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-06 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-07 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-07 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-07 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-07 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-07 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-07 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-07 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-07 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-07 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-07 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-07 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-07 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-07 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-07 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-07 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-07 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-07 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-08 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-08 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-08 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-08 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-08 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-08 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-08 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-08 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-08 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-08 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-08 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-08 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-08 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-08 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-08 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-08 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-08 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-09 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-09 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-09 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-09 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-09 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-09 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-09 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-09 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-09 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-09 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-09 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-09 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-09 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-09 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-09 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-09 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-09 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-10 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-10 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-10 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-10 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-10 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-10 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-10 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-10 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-10 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-10 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-10 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-10 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-10 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-10 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-10 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-10 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-10 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-11 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-11 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-11 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-11 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-11 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-11 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-11 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-11 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-11 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-11 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-11 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-11 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-11 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-11 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-11 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-11 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-11 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-12 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-12 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-12 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-12 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-12 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-12 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-12 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-12 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-12 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-12 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-12 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-12 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-12 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-12 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-12 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-12 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-12 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-13 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-13 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-13 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-13 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-13 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-13 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-13 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
